"","pairs","Adj R2","Intercept","Slope","p"
"1","SITES_STOPPED  vs  SITES_IDENTIFIED","0.03332","190.72","0.67903","0.18071"
"2","ILLEGAL_EXP_EVENT  vs  SITES_IDENTIFIED","-0.026519","272.08","0.121","0.75878"
"3","RECYCLE_MIXEDPAPER_.  vs  SITES_IDENTIFIED","0.039427","222.9","0.86017","0.17223"
"4","RECYCLE_NEWSPAPER_.  vs  SITES_IDENTIFIED","0.0035494","205.82","0.57554","0.3083"
"5","RECYCLE_MIXGLASS_.  vs  SITES_IDENTIFIED","0.095598","430.18","-2.3041","0.082481"
"6","RECYCLE_STEELCANS_.  vs  SITES_IDENTIFIED","0.017356","232.53","0.38209","0.24493"
"7","RECYCLE_ALUMCANS_.  vs  SITES_IDENTIFIED","0.02391","171.11","0.088234","0.22026"
"8","RECYCLE_PLASTICBOTTLE_.  vs  SITES_IDENTIFIED","0.01301","267.36","0.277","0.26304"
"9","HOUSEWASTE_T  vs  SITES_IDENTIFIED","0.045123","1236","-0.15569","0.18521"
"10","RECYCLE_P  vs  SITES_IDENTIFIED","0.098573","1432.7","-24.363","0.096381"
"11","DRYRECYCLE_P  vs  SITES_IDENTIFIED","-0.043829","-436.45","26.061","0.65831"
"12","DISPOSAL_P  vs  SITES_IDENTIFIED","0.11803","-493.95","17.995","0.076079"
"13","LA_COLLECTWASTE_T  vs  SITES_IDENTIFIED","0.053188","1281.8","-0.0014106","0.16764"
"14","CPI_NOTNATIONAL_INDICIES_BASE2005  vs  SITES_IDENTIFIED","0.35064","-1162.5","12.205","6.9694e-06"
"15","RPI_NOTNATIONAL_INDICIES_BASE1987  vs  SITES_IDENTIFIED","0.3083","-916.3","5.1128","3.0472e-05"
"16","GDP_CURRENT_MARKETPRICE  vs  SITES_IDENTIFIED","0.22897","-710.14","9.9666","0.00039544"
"17","POPULATION_ENGLAND  vs  SITES_IDENTIFIED","0.6035","-4214.3","8.4253e-05","0.0029843"
"18","DWELLINGS_ENGLAND  vs  SITES_IDENTIFIED","0.66718","-4618.3","0.00021256","0.0013134"
"19","TURNOVER..M._COLLECTION.TREATMENT.DISPOSAL.RECOVERY  vs  SITES_IDENTIFIED","-0.96004","535.69","-0.01841","0.90971"
"20","Water_Sewerage_Waste_Rem_Seas_2012  vs  SITES_IDENTIFIED","-0.017626","-90.693","3.136","0.65427"
"21","Water_Sewerage_Waste_Rem_Seas_2012_period  vs  SITES_IDENTIFIED","-0.0093995","228.76","-11.891","0.44651"
